RecordType,Item,Manufacturer,Description,Quantity,SerialNumber
I,3001087,CITRIX,CITRIX NETSCALER SFP GIGABIT ETHERNET COPPER 4 PK,4,
I,301-15-OPT11-N,,15FT M1 11-11C JCS CABLE,2,
I,305371,AVAYA,CMS R17R2 ENTPRS R720 HDW,1,OEP# REQ000000071394
I,305371,AVAYA,CMS R17R2 ENTPRS R720 HDW,1,OEP# REQ000000071394
I,305371,AVAYA,CMS R17R2 ENTPRS R720 HDW,1,OEP# REQ000000071394
I,310723,ANIXTER,Fiber Patch Panel,4,
I,321-0103,NETSCOUT,Single Mode Fiber Optic Splitter w/LC-SC Cables,18,
I,321-0433,NETSCOUT,10GBaseTX SFP Transceiver,26,
I,321-0435,NETSCOUT,NetScout 1000BaseSX Fiber Optic SFP Transceiver,4,
I,321-1278,NETSCOUT,KIT XFP; 10GB; 1310NM; LC,2,
I,321-1279,NETSCOUT,10Gbps Short Reach XFP Transceiver; 850nm,4,
I,321-1503,OTHER,Kit; Rack Mount; Taps; 3 Slot; 1U,8,08131470
I,32460,,4 in 1,2,
I,334635,OTHER,50 pair 110 block with legs,2,1231470
I,334635,OTHER,50 pair 110 block with legs,1,01231470
I,334635,OTHER,50 pair 110 block with legs,5,01231470
I,334635,OTHER,50 pair 110 block with legs,9,
I,34-0874-01,,ADP-30RB 5V 12V Pix Router Power Supply Adapter,130,
I,34-1977-04,CISCO,AC/DC ADAPTER,9,
I,340-1043,OTHER,Kit; Tap; 1 Line/Link Fiber; 60/40; 62.5um; MM,8,08131470
I,367684-REV4,OTHER,RBSI VOIP SITE VISIT 2 KIT,1,10101443
I,367684-REV6,ANIXTER,RBSI VOIP SITE VISIT 2 KIT,1,01291548
I,367684-REV6,ANIXTER,RBSI VOIP SITE VISIT 2 KIT,1,01131541
I,367684-REV6,ANIXTER,RBSI VOIP SITE VISIT 2 KIT,1,06101440
I,367684-REV6,ANIXTER,RBSI VOIP SITE VISIT 2 KIT,10,01201542
I,367684-REV6,ANIXTER,RBSI VOIP SITE VISIT 2 KIT,3,01201542
I,367684-REV6,ANIXTER,RBSI VOIP SITE VISIT 2 KIT,14,
I,367684-REV6,ANIXTER,RBSI VOIP SITE VISIT 2 KIT,1,01201542
I,37609-01K,,VERTICAL RACK CABLING SECTION 6IN WIDE 7FT TALL,1,
I,390-0252-02,SUN,SUN 390-0252-02 73GB SCSI U320 10K RPM WITH SPUD,6,
I,390-0253-02,SUN,Sun Microsystems 146.8gb 10000rpm 3.5-Inch 80-Pin Scsi Wi,6,
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,7,
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,1,11221314
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,1,11221314
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,1,11221314
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,1,11221314
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,1,11221314
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,1,01231470
I,3900-FANASSY,CISCO,CISCO 3925/3945 FAN ASSEMBLY,1,07231480
I,40066-MW,OTHER,50-PAIR 66M BLOCK W PREWIRED 25 PAIR FEMALE CONNEC,38,
I,40157-050,Chatsworth,Insulator Block; 50 Pack,1,
I,4022,,15ft Cat6 Snagless Unshielded (UTP) Network Patch Cable - Or,20,01231470
I,405362641,AVAYA,AVAYA PWR CORD 9X10 IN USA 1750,54,
I,405362641,AVAYA,AVAYA PWR CORD 9X10 IN USA 1750,2,OEP# REQ000000062005
I,405362641,AVAYA,AVAYA PWR CORD 9X10 IN USA 1750,2,REQ000000062005
I,407339-B21,COMPAQ,2m External Mini SAS Cable; 4x,3,
I,40K6591,,IBM RACK SLIDE RAIL KIT,23,
I,450 1SX MDA,NORTEL,BAYSTACK 1 PORT 1000BASE-SX MODULE,1,
I,45815402,,NICE SMARTCENTER SFTW,1,
I,4621SW,AVAYA,4621SW IP Phone,4,
I,4690 IP,AVAYA,avaya 4690 ip conference voip speaker phone,1,
I,47-10539-01,CISCO,CISCO PIX 501 SECURITY NETWORK FIREWALL APPLIANCE,1,
I,470064-887,COMPAQ,ProLiant DL380 Rack 2xXeon 5140 2.33GHz/1x4MB; 4GB,1,
I,4900M-BLK-CVR,CISCO,Blank Cover for Port Card Slots,12,
I,4900M-X2-CVR,CISCO,X2 Cover,23,
I,49013-P48,,48 PRT PATCH PANEL W/8PIN JACKS W/2PR WIRED TO 110,4,
I,493585,COMMSOURCE,COMM SOURC HYDRA-8X5E-45-5 TELCO HYDRA CBLE CAT525PR MALE AM,2,01231470
I,4G-AE010-R,CISCO,Single Unit antenna Extension Base (10 foot cable included),1,01071541
I,4G-LTE-ANTM-D,,4G LTE ARTICULATING DIPOLE ANTENNA,1,01071541
I,4K24C-48VDC,OTHER,4K24C 10/MB ETHERNET SWITCH,1,
I,500662-B21,COMPAQ,8GB Reg ECC DDR3 SDRAM DIMM; PC3-10600R; 1066MHz,6,
I,507127-B21,COMPAQ,300GB Dual Pt SAS HDD10;000rpm2.5in Wide6Gbps Hot,3,
I,5100-0787,,METAL CHASSIS FILLER PLATE,1,
I,512327-B21,COMPAQ,750W High Efficiency Power Supply; Common Slot,4,
I,512545-B21,COMPAQ,72GB SAS HDD15;000rpm6Gbps2.5in Wide SFFHot Plug,1,
I,512547-B21,COMPAQ,146GB SAS HDD 15;000rpm6Gbps2.5in Wide SFFHot Plug,13,
I,518852-B21,COMPAQ,2.1GHz AMD Opteron 6172 12-Core Proc 12MB L3 Cache,3,
I,518852-L21,COMPAQ,2.1GHz AMD Opteron 6172 12-Core Proc 12MB L3 Cache,3,
I,518857-B21,COMPAQ,ProLiant BL465c G7 Blade BaseNo CPU0 RAMNo Control,3,
I,534916-B21,COMPAQ,512MB Flash Backed Memory Disk,2,
I,555052-1,TYCO,Modular Jack,6,
I,5823,,BRACKET STANDOFF FOR 66M BLOCK,35,
I,583914-B21,HP,HP SMART ARRAY P410512MB SAS WITH FBWC PC,3,
I,588184-B22,COMPAQ,Smart Array P410i Dual Pt SAS RAID ContPCIe x81GB,3,
I,593913-B21,COMPAQ,8GB Registered ECC DDR3 SDRAM DIMMPC3-10600R1333MH,24,
I,593915-B21,COMPAQ,16GB Reg ECC DDR3 SDRAM Qd Rank DIMMPC3-85001066MH,3,
I,6000-0176,ASPECT,PCA Universal DTIC,1,
I,6000-0191,ASPECT,ASPECT SWITCHING MODULE CONTROLLER 3 CARD,1,
I,605835-B21,COMPAQ,1TB SAS HDD; 7200rpm; 2.5in Wide; 6Gbps; Hot Plug,8,
I,633414-B21,HP,3.06GHz Int Xeon X5675 6-Core Pro12MB SmartCache,4,
I,633781-L21,COMPAQ,3.06GHz Int Xeon X5675 6-Core Pro12MB SmartCache,1,
I,6408D+ GRY,AVAYA,AVAYA Definity 6408D+ Telephone,3,
I,6416D+M GRY,AVAYA,AVAYA Definity 6416D+M Telephone,11,
I,643086-B21,HP,HP PROLIANT DL580 G7 SERVER,2,
I,6500-SW-SPARECD,,CISCO CATALYST 6500 SUPERVISOR ENGINE SOFTWARE UPGRADE CD,2,
I,652235-B21,COMPAQ,SATA DVDRW Drive,1,
I,652238-B21,COMPAQ,SATA DVD-ROM Optical Drive; 9.5mm High,14,
I,652583-B21,COMPAQ,600GB SAS HDD; 6Gbps; 10;000rpm; 2.5in Wide,5,
I,653200-B21,COMPAQ,ProLiant DL380p G8 SFF BaseNo CPU0 RAMSArray P420i,1,
I,6990/MS,NETSCOUT,InfiniStream 6990MS 4TB Pack Recdg/Insp App2x1Gbps,2,
I,700-00461,SONUS,NETRA 240 W/2 X 1.5 GHZ,2,
I,700-00580,SONUS,NETRA 210 WITH 1X1.3GHZ CPU AND 1GB MEMORY AC PWR,1,
I,700-08395-02,,Wall mount bracket,12,
I,700-8396-02,,Cisco 10700 series replacement door,12,
I,7000-2543,,SW PKG CALL CENTER REPORTS,5,
I,7000-2988,,SW PKG CC UC PROXY & CONFIG SERVER,1,
I,7000-3814,,SW PKG UCC PRODUCER 5.0.1,1,
I,7000-3815,,SW PKG UCC DIRECTOR 5.0.1,5,
I,7000-5292,ASPECT,Teleset 3 English Keys ULAW,28,
I,7000-5985,,SW PKG UCC REAL-TIME DIRECTOR 5.1.1,1,
I,700168735,,SOURCE INC FLAT CABLE ASSY 20.5 IN LONG,1,
I,700170004,AVAYA,DEF SRAY CABLE RED 5 METER CAT5 RJ45,3,
I,700170012,AVAYA,DEF SRAY CABLE GREEN 5 METER,3,
I,700178056,AVAYA,CABLE GREEN 25 METER,13,
I,700178072,AVAYA,CAT5E PATCH CABLE 25METER,9,
I,700204050,,CABLE CAT5 RJ45-RJ45 GRY,3,
I,700206733,,1-PORT MOD JACK 110 8W8P UTP T568A/B CAT6 IP5 GIGASPEED GRAY,6,
I,700206758,,1 PORT MOD JAC 110 8W8P UTP T568A/B CAT6 IP5 GIGASPEED,4,
I,700211931,SYSTIMAX,SYSTIMAX 1071E GIGASPEED CAT6 GRAY CABLE,5,
I,700259724,AVAYA,G650 MEDIA GATEWAY,1,
I,700263502,AVAYA,EXTR IPSI-2 CBL ADAPTER,38,
I,700274673,CISCO,AVAYA 4610SW IP PHONE,4,
I,700287758,AVAYA,6221 Analog Set - Gray,2,
I,700289846,,ASSY TOP EX-MIC SSIP AVAYA,182,
I,700293673,AVAYA,S8700 SERVER FOR ACM 2.0,1,
I,700381254,AVAYA,COMPACT FLASH 128MB,5,
I,700381569,AVAYA,4622SW IP Telephone,37,
I,700381957,AVAYA,AVAYA 4610SW IP PHONE,19,
I,700383326,,AVAYA CAT 5 NETWORK CABLE 96XX,585,
I,700383912,AVAYA,9610 GRY 9610D01A,112,
I,700383938,AVAYA,9650 IP Phone; Charcoal Gray,137,
I,700383938,AVAYA,9650 IP Phone; Charcoal Gray,1,11191480
I,700393317,AVAYA,Avaya TN763D 4-PORT AUX TRUNK CARD,1,
I,700394596,AVAYA,VAL CIRCUIT PACK TN2,2,
I,700394612,,C-LAN INTF CIRCUIT P,16,
I,700394679,AVAYA,IP SERVER INTERFACE CIRCUIT PACK,1,
I,700394703,AVAYA,Avaya MM716 Analog Media Module,1,
I,700394950,AVAYA,G650 MEDIA GATEWAY RHS,3,
I,700395445,AVAYA,120A CSU CABLE 50FT RHS,1,
I,700397284,AVAYA,G600/G650 TDM LAN CABLE KIT,3,
I,700405673,AVAYA,9630G IP Phone Set; Gray,581,
I,700405673,AVAYA,9630G IP Phone Set; Gray,150,02201543
I,700406291,ADDONICS,MINI DIGIDRIVE II USB 2.0 STORAGE DEVICE,4,
I,700407802,AVAYA,G450 MP80  NO POWER SUPPLY,2,
I,700409451,,IPSI-2 Maintenance Cable,22,
I,700426711,AVAYA,9620 IP Phone; Charcoal Gray,6,
I,700429277,AVAYA,AVAYA PARTNER 308EC EXP MODULE,1,
I,700432529,AVAYA,G450 POWER SUPPLY UNIT; 400W AC,2,
I,700445794,AVAYA,S8730 RAID DRIVE,1,
I,700459456,AVAYA,AVAYA PWR/G450 MP80 NO POWER SUPPLY,14,
I,700459472,AVAYA,80 Channels DSP Daughterboard,14,
I,700459498,AVAYA,G450 POWER SUPPLY,14,
I,700462518,AVAYA,AVAYA 9600 SBM24 BUTTON MOD GRY,10,
I,700463441,AVAYA,TN2312BP IP SERVER INTERFACE,27,
I,700463458,AVAYA,C-LAN INTF CP TN799DP BOARD,57,
I,700463466,AVAYA,VAL CP TN2501AP,11,
I,700463474,AVAYA,IP320 MEDIA RESOURCE TN2602AP NON GSA,18,
I,700463508,AVAYA,BUS TERMINATOR CP AHF110,48,
I,700466014,AVAYA,DS1 Interface; TN464HP,2,
I,700466014,AVAYA,DS1 Interface; TN464HP,3,12021323
I,700466634,AVAYA,MM710B T1/E1 MEDIA MODULE - NON GSA,35,
I,700466642,AVAYA,AVAYA MM716 ANALOG NON-GSA CARD,13,
I,700470800,,RJ45 9FT CAT5 PATCH NETWORK CABLE GRY,24,
I,700476351,AVAYA,CM5.2.1 LINUX UNITY SOFTWARE CD UPGRADE,10,
I,700478266,,S8800 1U SRVR VOICE PORTAL,2,
I,700478498,AVAYA,S8800 Media Server,1,
I,700478506,AVAYA,S8800 1U SRVR CM 5.2.1,1,
I,700479439,AVAYA,PROGNOSIS VOIP MPONITORING CD,1,
I,700480601,AVAYA,AVAYA IP PHONE 9621G,379,
I,700500188,AVAYA,AES 5.2.1 HDWR BNDL MEDIA,9,
I,700500191,AVAYA,AES 5.2.1 AURA BNDL MEDIA,1,
I,700500751,AVAYA,AVAYA ADMIN TOOLS R6.0 CD,1,
I,700500752,AVAYA,AVAYA NETWORK MGMT TOOLS R6.0 DVD,1,
I,700500754,AVAYA,AVAYA PROGNOSIS VOIP MONITORING R3 CD,2,
I,700500929,AVAYA,AVAYA AURA SYSTEM PLTFRM 6.0.3 DVD,2,
I,700500961,AVAYA,AVAYA AURATM R6.0.1 MEDIA DVD,2,
I,700501034,AVAYA,AVAYA CMS LT04 SAS TAPE DRIVE,1,
I,700501090,AVAYA,AVAYA DL360G7 SRVR 1CPUHI1 CM6.0.1 DUPLEX,2,
I,700501183,AVAYA,R610 SPARE PWR SUPPLY,1,OEP# REQ000000062005
I,700501183,AVAYA,R610 SPARE PWR SUPPLY,1,REQ000000062005
I,700501539,,AVAYA B100 SER EXP MIC1PR,75,
I,700503700,AVAYA,Avaya B189 IP Conference Phone,23,
I,700504572,AVAYA,AVAYA AES 6.3 AURA BNDL MEDIA DVD SOFTWARE,2,
I,700505182,AVAYA,AVAYA DL360G7 SERVER AES,1,
I,700505971,AVAYA,AVAYA AURATM SYS PLATFORM 6.3.0 CD,2,
I,700506209,AVAYA,IP 9650 Telephone,8,02231540
I,700506209,AVAYA,IP 9650 Telephone,50,
I,700506209,AVAYA,IP 9650 Telephone,3,12261440
I,700506209,AVAYA,IP 9650 Telephone,45,12261440
I,700506209,AVAYA,IP 9650 Telephone,76,04161441
I,700506209,AVAYA,IP 9650 Telephone,1,02231540
I,700506209,AVAYA,IP 9650 Telephone,7,02231540
I,72-1411-01,CISCO,L6-20P Plug to C19 Connection 3M 15FT,8,
I,72-2632-01,CISCO,3750 .5METER STACKWISE CABLE,1,
I,72-3663-01,CISCO,cisco db25 to rj45 modem/console cable,4,
I,7600-SIP-400,CISCO,7600 Series SPA Interface Processor-400,2,
I,789584,OTHER,SELF SUPPORTING ALUMINUM RELAY RACK 84 H X 35W,1,
I,801A,AVAYA,EXPANSION MODULE FOR 8434 ZE801A,1,
I,811-05031-01,SONUS,PNA45_3 ASSEMBLY BOM; ROHS 6 COMPLAINT; LEAD FREE PROCESS,4,03061571
I,811-05031-01,SONUS,PNA45_3 ASSEMBLY BOM; ROHS 6 COMPLAINT; LEAD FREE PROCESS,4,03061571
I,811-05031-01,SONUS,PNA45_3 ASSEMBLY BOM; ROHS 6 COMPLAINT; LEAD FREE PROCESS,4,03061571
I,811-05121-01,SONUS,MNA25 ASSEMBLY BOM; ROHS 6,4,03061571
I,811-05121-01,SONUS,MNA25 ASSEMBLY BOM; ROHS 6,4,03061571
I,811-05121-01,SONUS,MNA25 ASSEMBLY BOM; ROHS 6,4,03061571
I,811-05620-01,SONUS,CNA80_2 ASSEMBLY BOM,2,03061571
I,811-05620-01,SONUS,CNA80_2 ASSEMBLY BOM,2,03061571
I,811-05620-01,SONUS,CNA80_2 ASSEMBLY BOM,2,03061571
I,811-05910-01,SONUS,CNA08_1 ASSEMBLY BOM; ROHS6,2,03061571
I,811-05910-01,SONUS,CNA08_1 ASSEMBLY BOM; ROHS6,2,03061571
I,811-05910-01,SONUS,CNA08_1 ASSEMBLY BOM; ROHS6,2,03061571
I,812-01730,SONUS,MTA10_3 SYSTEM TIMING ADAPTER CARD,1,
I,812-01730-01,SONUS,MTA10_3 ASSEMBLY BOM; ROHS 2011 EXEMPTION 7B,4,03061571
I,812-01730-01,SONUS,MTA10_3 ASSEMBLY BOM; ROHS 2011 EXEMPTION 7B,4,03061571
I,812-01730-01,SONUS,MTA10_3 ASSEMBLY BOM; ROHS 2011 EXEMPTION 7B,4,03061571
I,812-04730,SONUS,MNS20_3 ASSEMBLY BOM ROHS 5 COMPLIANT,1,
I,812-04920,SONUS,PNS40_2 X GIGABIT ETHERNET INTERFACE,1,
I,812-05011,SONUS,PNA45_1 X GIGABIT ETHERNET INTERFACE CARD,1,
I,812-05111,SONUS,MNA25_1 ASSEMBLY BOM CARD,1,
I,812-05620,SONUS,CNA80 2 ASSEMBLY,1,
I,816-05344-01,SONUS,CNS85_4 ASSEMBLY; ROHS6,4,03061571
I,816-05344-01,SONUS,CNS85_4 ASSEMBLY; ROHS6,4,03061571
I,816-05344-01,SONUS,CNS85_4 ASSEMBLY; ROHS6,4,03061571
I,816-06510-01,SONUS,PNS41_1 ASSEMBLY; ROHS-6,4,03061571
I,816-06510-01,SONUS,PNS41_1 ASSEMBLY; ROHS-6,4,03061571
I,816-06510-01,SONUS,PNS41_1 ASSEMBLY; ROHS-6,4,03061571
I,816-06620-01,SONUS,MNS21_2 ASSEMBLY; ROHS-6,4,03061571
I,816-06620-01,SONUS,MNS21_2 ASSEMBLY; ROHS-6,4,03061571
I,816-06620-01,SONUS,MNS21_2 ASSEMBLY; ROHS-6,4,03061571
I,817-05322,SONUS,CNS80_2 INTERFACE SET,1,
I,822-00092,SONUS,GSX9000 HD CHASSIS ASSY W PLANES,1,
I,8410D BLACK,LUCENT,Lucent 8410D Analog Phone,20,
I,8434DX BLK,AVAYA,ATT 8434DX Phone BLACK,43,
I,848525887,AVAYA,CABLE EXTENDER ADAPTER,35,
I,9000-0821,,MPS LVD/POWER DISTRIBUTION UNIT,2,
I,915044V0E21F,,915044V0E21F Health Care Telephone,109,
I,944,OTHER,4 line corded speaker phone,1,
I,9500-0473,ASPECT,Switch Panel Filler,13,
I,9500L-DGM,NETSCOUT,nGenius Perf Mgr S/W Kit; Dedicated Global Server,1,
I,9500L-ENT,NETSCOUT,nGenius Perf Manager Enterprise S/W for Linux,4,
I,9502-ENT,NETSCOUT,nGenius K2 Enterprise Ed,4,
I,9968493,RITTAL,FAN TRAY FOR 600W PS/TS SERVER,13,
I,9968494,RITTAL,FAN TRAY FOR 700W PS/TS SERVER,2,
I,9970330,RITTAL,2200H X 600W X 900D RIMATRIX/TS,29,
I,9HV142-300,OTHER,SEAGATE MOMENTUS 7200.4 250GB SATA/300 7200RPM 16MB 2.5 HARD,1,
I,AA1419001,NORTEL,1000BaseSX GBIC 1 Port Multimode Fiber,1,
I,ACS-1841-RM-19,CISCO,19in Rack Mount Kit,21,
I,ACS-1900-RM-19,CISCO,Rack Mount Kit,15,
I,ACS-1900-RM-19,CISCO,Rack Mount Kit,15,04291321
I,ACS-2821-51RM-19,CISCO,19in Rack Mount Kit,12,
I,ADA-31X-3,ANIXTER,ADAPTER ADT LOOP BACK  ORANGE,5,
I,ADA-SSC-GM,ANIXTER,SMART SERIAL ADAPTER SS TO RJ45 DCE,101,
I,ADP-SC00-CMKFL-CLS,CORNING,SC Simplex Adapter,50,
I,AF556A,HP,POWER CORD,2,
I,AFBR-5715LZ,AVAGO,1.25 GBd MMF Transceiver with DMI for Gigabit Ethernet; SFP;,11,
I,AIM-CUE,CISCO,UNITY EXPRESS AIM,694,
I,AIM-VPN/HPII-PLUS,CISCO,DES/3DES/AES/VPN Encryption/Compression Int Mod,2,
I,AIM-VPN/SSL-1,CISCO,DES/3DES/AES/SSL VPN Encryption/Compression,5,
I,AIM-VPN/SSL-3,CISCO,DES/3DES/AES/SSL VPN ENCRYPTION/COMPRESSION MODULE,3,
I,AIR-ANT2422SDW-R,,Cisco Aironet Very Short 2.4-GHz Omnidirectional Antenna,3,
I,AIR-ANT4941,CISCO,CISCO AIRONET 2.4GHZ ARTICULATED DIPOLE ANTENNA PK OF 2,6,
I,AIR-ANTM2050D-R,CISCO,2.2dBi/2.4Ghz;5.0dBi/5GHz DualBand Dipole Antenna,3,
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,07301443
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,08271440
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,08271440
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,08271440
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,06101440
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,06101440
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,06101440
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,08271312
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,08271312
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,16,07311481
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,07181440
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,03281482
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,05061481
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,2,08071442
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,3,07301443
I,AIR-AP-BRACKET-1,CISCO,Low Profile Access Point Bracket,3,08081444
