MANUFACTURER_PART_NUMBER,COST_SEGMENT,MANUFACTURER,DESCRIPTION,SERIAL_CONTROL,MARKET_PRICE,LIST_PRICE,ATTRIBUTE8
L-CUWL-ADD-PRO-K9,ACTUAL,324,Unified Workspace Licensing - Top Level for PRO - 9.x/10.x,1,0,0,L-CUWL-ADD-PRO-K9
CON-ECMU-LCUWLAPR,ACTUAL,324,SWSS UPGRADES Unified Workspace Li,1,0,0,CON-ECMU-LCUWLAPR
UCAPPS-SW-10-X-K9,ACTUAL,324,Version 10.x Software Kit,1,0,0,UCAPPS-SW-10-X-K9
LIC-PM-3X-USR-UWL,ACTUAL,324,Personal Multiparty Video for  300 Platform,1,0,0,LIC-PM-3X-USR-UWL
L-EXST-DEP-UNDER1K,ACTUAL,324,"Total Deployment is Under 1,000 users",1,0,0,L-EXST-DEP-UNDER1K
UWL-PRO-CWMS-PAK,ACTUAL,324,CUWL PRO CWMS PAK,1,0,0,UWL-PRO-CWMS-PAK
SW-VTS-V4-X-PMP-K9,ACTUAL,324,Software Image v4.X for Virtual TelePresence Server,1,0,0,SW-VTS-V4-X-PMP-K9
L-CCX-90-S-UWL-PAK,ACTUAL,324,CCX 9.0 STD PAK for UWL,1,0,0,L-CCX-90-S-UWL-PAK
L-LIC-UWL-PRO-A,ACTUAL,324,"Services Mapping SKU, Under 1K UWL PRO users",1,0,0,L-LIC-UWL-PRO-A
CON-ECMU-LLICUWPA,ACTUAL,324,SWSS UPGRADES Services Mapping SKU,1,60,18,CON-ECMU-LLICUWPA
L-UWL-PRO-PAK,ACTUAL,324,CUWL PRO 9.x PAK,1,0,0,L-UWL-PRO-PAK
L-WBX-MC-UPG-NH,ACTUAL,324,WebEx MC/MTGS Optional Trade Up from Ports to Users,1,0,0,L-WBX-MC-UPG-NH
L-WBX-IM1-NH-UWL,ACTUAL,324,Included WebEx Messenger  Users ( 1 Year Term),1,0,0,L-WBX-IM1-NH-UWL
L-WEBEX-UWL-P-PAK,ACTUAL,324,WebEx PAK for CUWL Pro,1,0,0,L-WEBEX-UWL-P-PAK
UCM-10X-UWL-PRO,ACTUAL,324,UC Manager 10.x CUWL PRO Users,1,0,0,UCM-10X-UWL-PRO
UCXN-10X-UWL-PRO,ACTUAL,324,Unity Connection 10.x CUWL PRO Users,1,0,0,UCXN-10X-UWL-PRO
L-ADD-UWL-PRO,ACTUAL,324,"New CUWL Professional Edition User, 1 User",1,500,100,L-ADD-UWL-PRO
R-UCL-UCM-LIC-K9,ACTUAL,324,Top Level SKU For 9.x/10.x User License - eDelivery,1,0,0,R-UCL-UCM-LIC-K9
CON-ECMU-RUCLUCK9,ACTUAL,324,SWSS UPGRADES Top Level SKU For 9.,1,0,0,CON-ECMU-RUCLUCK9
LIC-TP-10X-ROOM,ACTUAL,324,"Telepresence Room Based Endpoint, Single or Multi-Screen",1,650,130,LIC-TP-10X-ROOM
CON-ECMU-LICTP1RO,ACTUAL,324,SWSS UPGRADES Telepresence Room Ba,1,78,23.4,CON-ECMU-LICTP1RO
UCM-PAK,ACTUAL,324,UCM 9X/10X PAK,1,0,0,UCM-PAK
PC-10X-STANDARD-K9,ACTUAL,324,Prime Collaboration Standard 10.x,1,0,0,PC-10X-STANDARD-K9
CUCM-VERS-10-X,ACTUAL,324,CUCM  Software Version 10.X,1,0,0,CUCM-VERS-10-X
R-VMCNDTRM-K9,ACTUAL,324,Mid-market (Select) Virtual TP Conductor - 50 Call Sessions,1,7995,399.75,R-VMCNDTRM-K9
CON-ECMU-RVMCNDK9,ACTUAL,324,SWSS UPGRADES Mid-mrkt Virt TelePres Cond-50 Call Ses,1,959,191.8,CON-ECMU-RVMCNDK9
SW-CNDTR-V3-X-K9,ACTUAL,324,Cisco TelePresence Conductor base software image v3.x,1,0,0,SW-CNDTR-V3-X-K9
LIC-CNDTR-B30,ACTUAL,324,"Conductor license, support up to 30 conference bridges",1,0,0,LIC-CNDTR-B30
LIC-CNDTR-CL,ACTUAL,324,Conductor clustering support,1,0,0,LIC-CNDTR-CL
LIC-VMCNDTR-PAK,ACTUAL,324,PAK for virtual Conductor,1,0,0,LIC-VMCNDTR-PAK
LIC-SW-VMCNDTR-K9,ACTUAL,324,Software Release Key for Virtual Conductor,1,0,0,LIC-SW-VMCNDTR-K9
LIC-CNDTR-C50,ACTUAL,324,Conductor 50 call sessions license,1,0,0,LIC-CNDTR-C50
