ID,BATCH_ID,SOURCE_ID,MESSAGE_TYPE,MESSAGE,CREATION_DATE
1567172788,682747,68,0,Finished: 17-APR-2015 14:59:59,4/17/2015 2:59:59 PM
1567172787,682747,68,0,Records Processed: 1,4/17/2015 2:59:59 PM
1567172786,682747,68,2,main.ROLLBACK,4/17/2015 2:59:59 PM
1567172785,682747,68,0,Upload Workflow step(s) failed.,4/17/2015 2:59:59 PM
1567172784,682747,68,2,main.return code from external table file check: 0,4/17/2015 2:59:59 PM
1567172783,682747,68,2,Begin external_table_file_check(etfc),4/17/2015 2:59:59 PM
1567172782,682747,68,2,main.return code from out of workflow loop: 2,4/17/2015 2:59:59 PM
1567172781,682747,68,0,Workflow step PL/SQL W/ DYNAMIC PARAMETERS failed. See log table for more details.,4/17/2015 2:59:59 PM
1567172780,682747,68,0,Message: User-Defined Exception,4/17/2015 2:59:59 PM
1567172779,682747,68,2,main.returning retcode from workflow step => 2,4/17/2015 2:59:59 PM
1567172778,682747,68,2,we.returning retcode => 2,4/17/2015 2:59:59 PM
1567172777,682747,68,3,END wwt_dell_cfi_commit_analysis.main,4/17/2015 2:59:59 PM
1567172776,682747,68,0,starting remaining items LOOP,4/17/2015 2:59:59 PM
1567172775,682747,68,0,non costed LOOP done,4/17/2015 2:59:59 PM
1567172774,682747,68,0,Calling non costed LOOP,4/17/2015 2:59:59 PM
1567172773,682747,68,0,Deleted staging row,4/17/2015 2:59:59 PM
1567172772,682747,68,3,1 rows deleted from wwt_dell_commit_stg table,4/17/2015 2:59:59 PM
1567172771,682747,68,3,Calling delete_commit_stg...,4/17/2015 2:59:59 PM
1567172770,682747,68,0,Inserted build row,4/17/2015 2:59:59 PM
1567172769,682747,68,3,1 rows inserted into wwt_dell_cfi_commit_build table,4/17/2015 2:59:59 PM
1567172768,682747,68,3,Calling insert_build_row...,4/17/2015 2:59:59 PM
1567172767,682747,68,0,nothing to commit,4/17/2015 2:59:59 PM
1567172766,682747,68,0,onhAND : 0,4/17/2015 2:59:59 PM
1567172765,682747,68,0,demAND : 0,4/17/2015 2:59:59 PM
1567172764,682747,68,3,0 dup rows deleted from wwt_dell_cfi_commit_build,4/17/2015 2:59:59 PM
1567172763,682747,68,3,count of dup files already processed = 0,4/17/2015 2:59:59 PM
1567172762,682747,68,3,Starting c_get_costed_items loop for item id N3162 and commit build id 567977+30156073-PO+71160|71160-VID,4/17/2015 2:59:59 PM
1567172761,682747,68,0,Done with upd_stg_with_flm,4/17/2015 2:59:59 PM
1567172760,682747,68,3,Calling upd_stg_with_flm...,4/17/2015 2:59:59 PM
1567172759,682747,68,2,Error in UTL_FILE.FOPEN/PUT_LINE or may have exceeded user_security retries: User-Defined Exception,4/17/2015 2:59:59 PM
1567172758,682747,68,1,Woo!  We caught the user security error.  Lets try again from the beginning.,4/17/2015 2:59:59 PM
1567172757,682747,68,1,Woo!  We caught the user security error.  Lets try again from the beginning.,4/17/2015 2:59:59 PM
1567172756,682747,68,1,Woo!  We caught the user security error.  Lets try again from the beginning.,4/17/2015 2:59:59 PM
1567172755,682747,68,1,Woo!  We caught the user security error.  Lets try again from the beginning.,4/17/2015 2:59:59 PM
1567172754,682747,68,0,l_my_file_path = WWT_DELL_CFI_REQUEST_NASHVILLE,4/17/2015 2:59:59 PM
1567172753,682747,68,0,l_slc_location = WWT_NASH,4/17/2015 2:59:59 PM
1567172752,682747,68,0,LOCATION: NASHVILLE,4/17/2015 2:59:59 PM
1567172751,682747,68,0,STRING: ,4/17/2015 2:59:59 PM
1567172750,682747,68,3,0 current sessions running.,4/17/2015 2:59:59 PM
1567172749,682747,68,3,BEGIN wwt_dell_cfi_commit_analysis.main,4/17/2015 2:59:59 PM
